PolicyNo,ClaimNo,Insured Country,Insured Name,Broker,Risk Country,Underwriter,Brokerage,Exposure,Gross Premium,Outstanding,Paid,Rate Change,Unique Market Reference,Underwriting Year,Inception Date,Expiry Date,OurShare,Distribution Channel,Class,Division,New Renewal
PL100018,CLM500018,USA,Dennis Harris,Marsh,France,Lauren Weber,0.06536,1910200.79,1414864.32,28850.42,317488.05,-0.3175,UMR_cuKAd,2023,2011-11-13 00:00:00,2025-05-16 00:00:00,0.8337,Open Market,Construction,Energy and Construction,Renewal
PL100019,CLM500019,India,Thomas Brooks,Marsh,India,Lauren Weber,0.07223,275707.34,156915.87,792658.01,297514.28,0.2684,UMR_jXVrO,2007,2017-04-14 00:00:00,2025-07-04 00:00:00,0.7381,Broker,Marine,Energy and Construction,Renewal
PL100020,CLM500020,UK,Lacey Robinson,Aon,France,Daniel Powell,0.11406,1871493.84,1392709.18,984062.16,919687.22,0.4447,UMR_ttTEk,1995,2000-07-24 00:00:00,2023-07-06 00:00:00,0.1444,Delegated Authority,Marine,Specialty,New
PL100021,CLM500021,Germany,Richard Mata,Willis,France,Daniel Powell,0.08788,891357.13,538325.76,562689.61,887274.78,-0.3846,UMR_vOEKn,2014,2010-03-30 00:00:00,2024-04-02 00:00:00,0.2466,Open Market,Energy,Specialty,New
PL100022,CLM500022,Germany,Amanda Mitchell,Gallagher,USA,Daniel Powell,0.04213,165333.57,270933.72,688791.02,946528.81,0.3954,UMR_vgKck,1992,2018-01-24 00:00:00,2024-04-22 00:00:00,0.2914,Broker,Marine,Specialty,Renewal
PL100023,CLM500023,UK,Linda Chen,Marsh,USA,Lauren Weber,0.01578,1686959.24,670620.91,502849.43,9237.55,-0.0833,UMR_xsaVx,1988,2006-11-05 00:00:00,2025-07-04 00:00:00,0.493,Open Market,Marine,Specialty,New
PL100024,CLM500024,India,Jonathan Zimmerman,Aon,France,Daniel Powell,0.01716,1871186.18,900051.07,918814.81,510996.22,-0.2433,UMR_cFzOa,2008,2018-03-01 00:00:00,2023-07-20 00:00:00,0.2723,Delegated Authority,Energy,Specialty,New
PL100025,CLM500025,USA,Cassandra Gomez,Marsh,Germany,Lauren Weber,0.07961,1848636.57,562621.57,811023.09,329863.13,-0.2074,UMR_NxsIb,1987,2010-03-18 00:00:00,2024-03-21 00:00:00,0.3234,Open Market,Marine,Specialty,New
PL100026,CLM500026,USA,Donald Greer,Willis,USA,Daniel Powell,0.11612,1808688.88,60176.66,568737.92,475876.78,0.088,UMR_ENVbR,1986,2020-08-16 00:00:00,2023-07-04 00:00:00,0.4075,Delegated Authority,Energy,Specialty,Renewal
PL100027,CLM500027,Germany,Nicole Roberson,Willis,Germany,Lauren Weber,0.02306,182794.94,478807.69,234638.21,753226.71,0.0024,UMR_SPgPr,2018,2001-12-30 00:00:00,2023-07-13 00:00:00,0.2039,Broker,Construction,Specialty,New
PL100028,CLM500028,UK,Richard Chapman,Gallagher,USA,Lauren Weber,0.03394,1942866.15,758429.62,814116.67,80145.07,-0.3462,UMR_ukvPr,2016,2005-07-09 00:00:00,2023-02-07 00:00:00,0.7324,Broker,Energy,Specialty,New
PL100029,CLM500029,UK,Cheryl Baker,Willis,USA,Daniel Powell,0.07105,477084.1,914270,598431.12,443627.5,-0.4425,UMR_EfFFp,2007,2012-04-01 00:00:00,2024-04-17 00:00:00,0.2964,Broker,Construction,Energy and Construction,Renewal
PL100030,CLM500030,India,Susan Hudson,Marsh,USA,Daniel Powell,0.08792,1158520.41,258931.08,783430.86,824898.83,0.3674,UMR_yOdpw,2005,2014-11-12 00:00:00,2024-03-31 00:00:00,0.2623,Open Market,Energy,Specialty,New
PL100031,CLM500031,India,Daniel Miller,Gallagher,USA,Daniel Powell,0.07237,1198497.48,1455632.81,888068.36,993903.37,0.436,UMR_GwebV,2001,2019-11-11 00:00:00,2024-05-07 00:00:00,0.3087,Open Market,Construction,Specialty,Renewal
PL100032,CLM500032,India,Michael Francis,Gallagher,USA,Lauren Weber,0.0943,1148112.47,1453155.58,758434.76,276604.96,-0.3945,UMR_yIKeP,2010,2019-03-17 00:00:00,2024-02-11 00:00:00,0.8543,Delegated Authority,Energy,Specialty,New
PL100033,CLM500033,USA,Luis Cole,Willis,India,Daniel Powell,0.04951,135374.33,818386.15,245998.06,348462.68,0.2903,UMR_yxvUX,2018,2011-03-27 00:00:00,2023-12-26 00:00:00,0.7309,Open Market,Construction,Energy and Construction,New
PL100034,CLM500034,UK,James Lopez,Gallagher,India,Daniel Powell,0.0525,370589.41,1224459.7,868626.87,502228.33,-0.3492,UMR_jnTtb,2022,2013-10-07 00:00:00,2025-06-07 00:00:00,0.265,Broker,Construction,Specialty,New
PL100035,CLM500035,India,Heidi Myers,Marsh,France,Lauren Weber,0.11442,1765086.32,867116.23,928265.61,970861.99,-0.3805,UMR_HjlOt,2004,2003-03-25 00:00:00,2025-09-15 00:00:00,0.7657,Open Market,Energy,Energy and Construction,Renewal
PL100036,CLM500036,India,Sarah Yu,Gallagher,France,Daniel Powell,0.09742,771280.11,1315534.68,448335.26,589213.25,-0.1544,UMR_dMHil,2001,2001-05-17 00:00:00,2024-08-03 00:00:00,0.8183,Open Market,Energy,Energy and Construction,New
PL100037,CLM500037,Germany,Cynthia Walker,Aon,India,Daniel Powell,0.02882,1327757.36,500151.15,39065.6,146899.7,0.3846,UMR_COiPp,2000,2005-05-03 00:00:00,2025-08-19 00:00:00,0.5369,Open Market,Energy,Energy and Construction,New
PL100038,CLM500038,USA,Michelle Dixon,Gallagher,France,Daniel Powell,0.03699,669780.98,147178.16,646071.14,55683.9,-0.0785,UMR_ooBqY,1988,2009-03-06 00:00:00,2025-05-08 00:00:00,0.7275,Broker,Energy,Energy and Construction,New
PL100039,CLM500039,USA,Justin Gray,Aon,France,Lauren Weber,0.08986,451229.99,749910.2,213521.49,393771.81,0.308,UMR_vEivq,2020,2008-03-17 00:00:00,2025-06-24 00:00:00,0.338,Delegated Authority,Marine,Specialty,Renewal
PL100040,CLM500040,UK,Brian Horne,Aon,USA,Daniel Powell,0.09101,1990901.81,501768.28,593041.76,597629.79,-0.254,UMR_nDqzR,2021,2007-01-27 00:00:00,2025-05-08 00:00:00,0.2643,Delegated Authority,Construction,Energy and Construction,Renewal
PL100041,CLM500041,Germany,Tiffany Hernandez,Marsh,France,Daniel Powell,0.01281,784472.56,1409847.53,637880.35,457645.74,0.1654,UMR_hyoXJ,2019,2014-06-06 00:00:00,2025-03-02 00:00:00,0.3863,Delegated Authority,Construction,Specialty,Renewal
PL100042,CLM500042,India,Linda Myers,Marsh,USA,Daniel Powell,0.05391,1809655.44,1393689.31,521424.44,392427.71,0.3768,UMR_TYClE,2008,2011-10-27 00:00:00,2023-09-16 00:00:00,0.4947,Delegated Authority,Marine,Energy and Construction,New
PL100043,CLM500043,Germany,Anna Werner,Willis,India,Lauren Weber,0.08717,560736.47,216621.68,649517.57,968791.49,-0.1886,UMR_YZmpF,1993,2017-12-22 00:00:00,2023-04-18 00:00:00,0.419,Open Market,Marine,Energy and Construction,New
PL100044,CLM500044,India,Scott Roberts,Gallagher,India,Lauren Weber,0.08685,998523.87,112902.32,457433.45,142952.3,-0.4565,UMR_aHMIN,1989,2008-11-02 00:00:00,2024-12-06 00:00:00,0.6414,Open Market,Construction,Specialty,Renewal
PL100045,CLM500045,UK,Adam Knox,Willis,Germany,Daniel Powell,0.06031,1155205.42,754061.05,194390.91,395964.96,0.3717,UMR_TzXLz,1996,2021-09-26 00:00:00,2024-11-09 00:00:00,0.8963,Open Market,Energy,Energy and Construction,Renewal
PL100046,CLM500046,USA,Hector Harrington,Willis,USA,Daniel Powell,0.02867,423293.21,1474955.29,285546.72,343145.42,-0.202,UMR_brQqA,1999,2004-10-09 00:00:00,2024-01-21 00:00:00,0.5803,Open Market,Marine,Energy and Construction,New
PL100047,CLM500047,India,Lisa Whitaker,Willis,France,Daniel Powell,0.0105,1115655.52,777260.02,154488.65,853557.76,-0.2241,UMR_XulbV,2022,2007-05-04 00:00:00,2025-10-08 00:00:00,0.715,Open Market,Construction,Energy and Construction,Renewal
PL100048,CLM500048,India,Michael Coffey,Gallagher,France,Daniel Powell,0.02465,1478860.57,366933.32,339576.04,647878.11,-0.321,UMR_DfMUS,1989,2001-01-13 00:00:00,2025-07-30 00:00:00,0.6931,Open Market,Construction,Energy and Construction,New
PL100049,CLM500049,India,Tyler Espinoza,Marsh,Germany,Daniel Powell,0.10001,1629728.46,121289.24,549354.85,432568.95,-0.0108,UMR_GGPnQ,1990,2001-07-24 00:00:00,2025-07-11 00:00:00,0.8941,Open Market,Energy,Specialty,Renewal
PL100050,CLM500050,UK,Jonathan Garcia,Marsh,USA,Daniel Powell,0.0815,1332624.62,216600.76,114084.83,424139.45,-0.084,UMR_tLjBC,1995,2010-06-18 00:00:00,2024-01-14 00:00:00,0.4077,Delegated Authority,Energy,Energy and Construction,New
PL100051,CLM500051,India,Kyle Stone,Marsh,India,Daniel Powell,0.0878,1688237.02,1108816.3,418703.65,156130.94,0.1913,UMR_WkuxY,2009,2015-05-27 00:00:00,2025-11-04 00:00:00,0.9677,Delegated Authority,Energy,Specialty,Renewal
PL100052,CLM500052,UK,Kim Nelson,Marsh,France,Daniel Powell,0.05774,447356.22,486637.62,293665.24,407709.13,-0.3939,UMR_simaI,1998,2011-12-07 00:00:00,2023-07-03 00:00:00,0.8512,Delegated Authority,Marine,Energy and Construction,New
PL100053,CLM500053,USA,Rachel Ferguson,Willis,France,Lauren Weber,0.0461,1578881.09,236465.86,95102.3,734056.96,-0.1085,UMR_vExnN,1999,2012-06-14 00:00:00,2024-05-12 00:00:00,0.6753,Broker,Energy,Energy and Construction,Renewal
PL100054,CLM500054,USA,James Acevedo,Willis,Germany,Lauren Weber,0.09462,1030369.78,321608.75,628560.35,554914.25,0.3007,UMR_HMTyI,2016,2003-12-16 00:00:00,2023-02-19 00:00:00,0.47,Delegated Authority,Marine,Specialty,New
PL100055,CLM500055,Germany,Mariah Stewart,Willis,Germany,Daniel Powell,0.0252,923122.23,869180.09,79559.58,383685.7,-0.0732,UMR_kPKNT,2009,2001-06-22 00:00:00,2025-08-12 00:00:00,0.5584,Open Market,Energy,Specialty,Renewal
PL100056,CLM500056,Germany,Brian Wiggins DVM,Willis,Germany,Lauren Weber,0.08492,464311.11,289431.1,623300.57,309173.39,0.2209,UMR_vgaJw,1985,2012-01-28 00:00:00,2024-12-22 00:00:00,0.7834,Broker,Energy,Specialty,Renewal
PL100057,CLM500057,India,Heather Barton,Aon,USA,Lauren Weber,0.11608,588702.49,682713.48,819672.11,71651.81,-0.3739,UMR_fJpZm,2001,2012-02-18 00:00:00,2025-12-23 00:00:00,0.9145,Open Market,Marine,Energy and Construction,Renewal
PL100058,CLM500058,India,Kristy Baird,Willis,India,Daniel Powell,0.03333,200979.26,491709.02,552951.73,497615.07,-0.2662,UMR_phyDZ,2004,2006-01-10 00:00:00,2025-12-14 00:00:00,0.5195,Open Market,Construction,Energy and Construction,New
PL100059,CLM500059,India,Amanda May,Marsh,India,Daniel Powell,0.10236,903956.42,237651.86,217089.33,325693.37,0.2985,UMR_SdfoJ,2013,2012-09-25 00:00:00,2024-02-06 00:00:00,0.8309,Open Market,Construction,Energy and Construction,Renewal
PL100060,CLM500060,USA,Scott Miller,Gallagher,France,Lauren Weber,0.04328,1174075.98,153610.4,21369.08,353230.69,-0.2818,UMR_vosyt,2000,2007-11-13 00:00:00,2024-03-25 00:00:00,0.426,Delegated Authority,Construction,Specialty,New
PL100061,CLM500061,UK,Lance Rush,Marsh,USA,Daniel Powell,0.07278,1164165.27,733451.33,903912.8,565518.9,-0.427,UMR_EOwRC,2023,2018-11-20 00:00:00,2025-11-22 00:00:00,0.2871,Delegated Authority,Construction,Energy and Construction,New
PL100062,CLM500062,India,Crystal Thompson,Willis,USA,Lauren Weber,0.07161,1766644.05,522311.4,489093.41,396857.56,-0.4729,UMR_WuTns,2021,2009-01-14 00:00:00,2023-05-26 00:00:00,0.1574,Open Market,Marine,Energy and Construction,Renewal
PL100063,CLM500063,USA,Theodore Browning MD,Marsh,USA,Lauren Weber,0.08369,625450.88,882265.28,760860.6,342438.64,-0.4928,UMR_GuYfL,2021,2018-04-19 00:00:00,2023-11-08 00:00:00,0.3959,Open Market,Energy,Specialty,New
PL100064,CLM500064,UK,Derek Roberts,Willis,Germany,Lauren Weber,0.10617,1620234.15,191992.46,165062.49,543897.16,-0.1952,UMR_xpbBh,1987,2002-11-08 00:00:00,2023-12-12 00:00:00,0.9601,Open Market,Marine,Specialty,New
PL100065,CLM500065,USA,Amy Norris,Gallagher,USA,Daniel Powell,0.03773,932719.17,112444.74,290491.5,694652.67,0.3503,UMR_BdRtA,1992,2014-06-12 00:00:00,2025-01-15 00:00:00,0.4108,Open Market,Energy,Energy and Construction,Renewal
PL100066,CLM500066,UK,Rhonda Alvarez,Gallagher,India,Daniel Powell,0.1001,1950992.15,615784.28,176625.72,468596.8,-0.2811,UMR_PmcAw,1985,2001-03-16 00:00:00,2025-02-15 00:00:00,0.6665,Open Market,Energy,Specialty,New
PL100067,CLM500067,Germany,Wendy Savage,Willis,Germany,Daniel Powell,0.11101,234227.38,409452.36,235699.01,942510.54,-0.4788,UMR_PLDyK,2002,2021-03-16 00:00:00,2025-05-25 00:00:00,0.2706,Open Market,Energy,Energy and Construction,New
PL100068,CLM500068,USA,Amber Smith,Gallagher,France,Daniel Powell,0.02427,647467.55,1074424.49,718660.34,129878.53,-0.0409,UMR_SXNqz,2006,2004-05-05 00:00:00,2023-10-27 00:00:00,0.72,Delegated Authority,Marine,Specialty,Renewal
PL100069,CLM500069,UK,Angel Stewart,Marsh,Germany,Daniel Powell,0.03932,382448.49,1184869.81,290129.56,735287.86,-0.3978,UMR_IHkNm,2001,2020-03-17 00:00:00,2025-01-21 00:00:00,0.6653,Broker,Marine,Energy and Construction,New
PL100070,CLM500070,USA,Tyler Boone,Willis,India,Lauren Weber,0.03288,599462.09,455072.54,169795.61,912915.71,-0.052,UMR_kYsMC,2023,2005-04-01 00:00:00,2024-04-11 00:00:00,0.3878,Broker,Construction,Specialty,New
PL100071,CLM500071,Germany,Janice Wilson,Marsh,India,Lauren Weber,0.07132,442103.99,643177.36,672452.38,681994.3,0.0375,UMR_cSEua,2008,2001-08-04 00:00:00,2024-09-19 00:00:00,0.4859,Open Market,Construction,Specialty,Renewal
PL100072,CLM500072,Germany,Michael Hester,Marsh,India,Lauren Weber,0.09025,1749192.63,938046.48,855526.67,440429.72,0.426,UMR_JIAVg,2011,2002-03-15 00:00:00,2023-07-29 00:00:00,0.1016,Open Market,Marine,Energy and Construction,Renewal
PL100073,CLM500073,Germany,Gary Stephens,Willis,USA,Lauren Weber,0.06883,1143068.68,239202.19,658565.37,872351.52,-0.1328,UMR_aXgNq,1991,2020-03-13 00:00:00,2025-11-19 00:00:00,0.8561,Open Market,Energy,Energy and Construction,Renewal
PL100074,CLM500074,UK,Aaron Perry,Aon,France,Lauren Weber,0.0408,129542.66,686640.39,92090.92,891041,0.19,UMR_lhDTd,2007,2016-01-01 00:00:00,2025-09-10 00:00:00,0.4631,Open Market,Marine,Specialty,New
PL100075,CLM500075,USA,Sabrina Howell,Willis,India,Daniel Powell,0.09326,743735.06,198784.87,480470.97,211002.84,-0.2581,UMR_RiYuq,2005,2000-07-05 00:00:00,2024-06-02 00:00:00,0.1024,Open Market,Energy,Energy and Construction,Renewal
PL100076,CLM500076,USA,Joyce Walsh,Aon,Germany,Daniel Powell,0.07522,1376974.8,1091012.02,601492.36,41475.87,0.1971,UMR_VEAfN,1993,2017-10-18 00:00:00,2025-11-07 00:00:00,0.6638,Delegated Authority,Marine,Specialty,Renewal
PL100077,CLM500077,Germany,William Martin,Gallagher,Germany,Daniel Powell,0.09293,492966.75,798765.12,789604.29,282241.51,-0.443,UMR_qgSur,2011,2011-06-28 00:00:00,2024-06-06 00:00:00,0.1658,Open Market,Construction,Specialty,Renewal
PL100078,CLM500078,USA,Gina Miller,Aon,India,Lauren Weber,0.02355,1522699.16,478828.56,810472.93,371939.53,0.1886,UMR_PaBRO,2020,2011-04-02 00:00:00,2025-03-05 00:00:00,0.6336,Broker,Construction,Energy and Construction,Renewal
PL100079,CLM500079,Germany,Benjamin Gilbert,Aon,India,Lauren Weber,0.09818,1207619.48,1476786.98,921521.59,345163.74,-0.262,UMR_DXLza,2013,2017-10-12 00:00:00,2024-02-15 00:00:00,0.483,Delegated Authority,Energy,Energy and Construction,New
PL100080,CLM500080,USA,Angela Turner,Willis,France,Lauren Weber,0.118,1232170.58,360481.41,479661.7,631040.48,0.119,UMR_rYtAF,2009,2009-11-05 00:00:00,2023-05-12 00:00:00,0.5887,Broker,Energy,Specialty,New
PL100081,CLM500081,India,Brenda Smith,Gallagher,USA,Lauren Weber,0.08778,1104836.63,939083.79,159157.9,411012.64,-0.296,UMR_GfMOb,2016,2004-02-12 00:00:00,2025-06-10 00:00:00,0.64,Delegated Authority,Marine,Energy and Construction,Renewal
PL100082,CLM500082,USA,Gerald Green,Aon,India,Daniel Powell,0.01957,869954.16,1044485.55,695289.4,744553.67,0.2539,UMR_baAWX,2018,2004-05-07 00:00:00,2025-10-12 00:00:00,0.3502,Open Market,Energy,Specialty,New
PL100083,CLM500083,USA,Mark Gallagher,Marsh,France,Lauren Weber,0.01151,408362.95,167804.5,129712.5,236434.46,-0.198,UMR_oTlJS,1997,2009-11-11 00:00:00,2023-01-08 00:00:00,0.2132,Open Market,Construction,Energy and Construction,Renewal
PL100084,CLM500084,UK,David Moran,Willis,USA,Daniel Powell,0.03719,1270179.74,1216419.28,429813.68,248301.89,-0.4066,UMR_RrsxJ,1999,2013-10-23 00:00:00,2024-07-01 00:00:00,0.7397,Open Market,Construction,Energy and Construction,Renewal
PL100085,CLM500085,USA,Andrea Prince,Willis,Germany,Lauren Weber,0.05759,1147445.01,836020.11,180836.71,598920.84,-0.4033,UMR_RvRdK,2012,2005-06-05 00:00:00,2023-01-30 00:00:00,0.893,Broker,Construction,Specialty,New
PL100086,CLM500086,UK,Erik Chaney,Willis,Germany,Lauren Weber,0.10048,985970.65,560000.63,330583.23,160993.02,0.3669,UMR_Ixpnj,2024,2011-02-02 00:00:00,2023-06-18 00:00:00,0.4129,Delegated Authority,Construction,Specialty,New
PL100087,CLM500087,UK,Megan Lewis,Gallagher,France,Lauren Weber,0.08974,582222.51,346735.4,73623.87,567216.37,-0.1506,UMR_APVRj,2009,2005-11-06 00:00:00,2024-09-28 00:00:00,0.9006,Delegated Authority,Construction,Specialty,Renewal
PL100088,CLM500088,India,Christopher Shannon,Willis,Germany,Lauren Weber,0.0181,612816.86,540022.87,460092.04,155495.48,-0.4977,UMR_bSuHp,1985,2009-06-25 00:00:00,2023-01-26 00:00:00,0.5588,Delegated Authority,Construction,Specialty,New
PL100089,CLM500089,India,April Burke,Marsh,USA,Lauren Weber,0.10354,370101.59,1017319.62,335866.09,43259.56,-0.0703,UMR_KwPxb,2017,2001-04-13 00:00:00,2023-08-25 00:00:00,0.447,Delegated Authority,Construction,Energy and Construction,New
PL100090,CLM500090,USA,Justin Wilson,Willis,India,Lauren Weber,0.0234,883395,224723.2,668241.12,563763.06,-0.2803,UMR_HdfyI,2021,2016-06-19 00:00:00,2024-12-23 00:00:00,0.9702,Broker,Energy,Energy and Construction,New
PL100091,CLM500091,USA,Sandra Rogers,Gallagher,Germany,Daniel Powell,0.0465,1703140.61,202229.03,41254.77,615187.53,0.3952,UMR_fZGgW,2008,2020-08-15 00:00:00,2025-12-19 00:00:00,0.5371,Broker,Marine,Specialty,Renewal
PL100092,CLM500092,USA,Kyle Freeman,Gallagher,USA,Lauren Weber,0.02198,1924146.18,198798.22,871742.78,581594.54,0.081,UMR_ZArgs,2008,2008-02-11 00:00:00,2024-08-14 00:00:00,0.9836,Broker,Marine,Specialty,New
PL100093,CLM500093,UK,Teresa Mitchell,Aon,India,Daniel Powell,0.02133,337816.41,1155936.1,30519.29,448783.28,0.3578,UMR_yyUMd,2010,2000-06-03 00:00:00,2025-11-17 00:00:00,0.8115,Broker,Marine,Specialty,Renewal
PL100094,CLM500094,Germany,Christian Larson,Gallagher,India,Daniel Powell,0.1063,903635.04,1058037.75,736218.77,225796.97,-0.2226,UMR_JVLEw,2010,2016-09-27 00:00:00,2025-01-27 00:00:00,0.853,Delegated Authority,Marine,Specialty,New
PL100095,CLM500095,USA,Amanda Tyler,Gallagher,Germany,Daniel Powell,0.10058,1519972.13,653101.94,597381,993912.59,-0.4653,UMR_NSxLu,2010,2005-09-12 00:00:00,2024-04-02 00:00:00,0.7887,Delegated Authority,Energy,Specialty,Renewal
PL100096,CLM500096,UK,Christopher Olsen,Willis,Germany,Lauren Weber,0.08225,593573.16,1323095.21,513833.46,592043.11,0.3769,UMR_YtBHd,1990,2002-03-11 00:00:00,2025-12-08 00:00:00,0.9224,Open Market,Construction,Specialty,Renewal
PL100097,CLM500097,Germany,Morgan Clark,Marsh,France,Daniel Powell,0.03834,935757.53,157027.37,655204.02,996172.79,0.0033,UMR_Penvm,2004,2010-06-27 00:00:00,2023-09-22 00:00:00,0.988,Broker,Construction,Specialty,Renewal
PL100098,CLM500098,India,Larry Parker MD,Marsh,India,Lauren Weber,0.07257,1010317.37,1433661.07,982179.15,130456.83,0.0253,UMR_mCequ,2013,2001-04-15 00:00:00,2025-09-28 00:00:00,0.1998,Open Market,Construction,Specialty,New
PL100099,CLM500099,India,Melissa Montoya,Aon,France,Daniel Powell,0.03505,1526670.63,1108380.03,677438.51,235965.69,0.4363,UMR_RuISk,2003,2010-10-26 00:00:00,2023-02-22 00:00:00,0.4655,Broker,Marine,Specialty,New
PL100100,CLM500100,Germany,Beth Davis,Marsh,France,Lauren Weber,0.10737,1118012.86,1443671.66,303196.33,630311.55,0.2589,UMR_LlIcm,2023,2014-02-09 00:00:00,2025-10-11 00:00:00,0.2391,Open Market,Energy,Energy and Construction,New
PL100101,CLM500101,UK,Robert Anderson,Aon,Germany,Lauren Weber,0.10769,1941390.23,1376229.86,395270.59,173070.66,0.0807,UMR_ncNSw,2009,2014-01-19 00:00:00,2025-07-10 00:00:00,0.3818,Broker,Construction,Specialty,New
PL100102,CLM500102,UK,Luke Hamilton,Marsh,France,Lauren Weber,0.02737,1193570.51,1155133.4,111066.34,29092.97,0.0783,UMR_OoWDX,2012,2005-01-04 00:00:00,2023-12-24 00:00:00,0.1564,Delegated Authority,Marine,Specialty,Renewal
PL100103,CLM500103,USA,Melissa Thomas,Gallagher,Germany,Lauren Weber,0.06115,1938100.73,1039914.31,906944.8,688658.31,-0.1891,UMR_QKEIO,2016,2002-01-14 00:00:00,2024-02-19 00:00:00,0.454,Delegated Authority,Construction,Specialty,Renewal
